Jan,31,1900
Feb,19,1901
Feb,08,1902
Jan,29,1903
Feb,16,1904
Feb,04,1905
Jan,25,1906
Feb,13,1907
Feb,02,1908
Jan,22,1909
Feb,10,1910
Jan,30,1911
Feb,18,1912
Feb,06,1913
Jan,26,1914
Feb,14,1915
Feb,03,1916
Jan,23,1917
Feb,11,1918
Feb,01,1919
Feb,20,1920
Feb,08,1921
Jan,28,1922
Feb,16,1923
Feb,05,1924
Jan,24,1925
Feb,13,1926
Feb,02,1927
Jan,23,1928
Feb,10,1929
Jan,30,1930
Feb,17,1931
Feb,06,1932
Jan,26,1933
Feb,14,1934
Feb,04,1935
Jan,24,1936
Feb,11,1937
Jan,31,1938
Feb,19,1939
Feb,08,1940
Jan,27,1941
Feb,15,1942
Feb,04,1943
Jan,25,1944
Feb,13,1945
Feb,01,1946
Jan,22,1947
Feb,10,1948
Jan,29,1949
Feb,17,1950
Feb,06,1951
Jan,27,1952
Feb,14,1953
Feb,03,1954
Jan,24,1955
Feb,12,1956
Jan,31,1957
Feb,18,1958
Feb,08,1959
Jan,28,1960
Feb,15,1961
Feb,05,1962
Jan,25,1963
Feb,13,1964
Feb,02,1965
Jan,21,1966
Feb,09,1967
Jan,30,1968
Feb,17,1969
Feb,06,1970
Jan,27,1971
Feb,15,1972
Feb,03,1973
Jan,23,1974
Feb,11,1975
Jan,31,1976
Feb,18,1977
Feb,07,1978
Jan,28,1979
Feb,16,1980
Feb,05,1981
Jan,25,1982
Feb,13,1983
Feb,02,1984
Feb,20,1985
Feb,09,1986
Jan,29,1987
Feb,17,1988
Feb,06,1989
Jan,27,1990
Feb,15,1991
Feb,04,1992
Jan,23,1993
Feb,10,1994
Jan,31,1995
Feb,19,1996
Feb,07,1997
Jan,28,1998
Feb,16,1999
Feb,05,2000
Jan,24,2001
Feb,12,2002
Feb,01,2003
Jan,22,2004
Feb,09,2005
Jan,29,2006
Feb,18,2007
Feb,07,2008
Jan,26,2009
Feb,14,2010
Feb,03,2011
Jan,23,2012
Feb,10,2013
Jan,31,2014
Feb,19,2015
Feb,08,2016
Jan,28,2017
Feb,16,2018
Feb,05,2019
Jan,25,2020
